user_id,movie_id,rating,timestamp
67726,lord+of+war+2005,6,2026-07-17T17:00:42
43589,a+time+to+kill+1996,10,2026-07-17T18:10:08
65977,apocalypse+now+1979,8,2026-07-17T18:11:57
64381,e.t.+the+extra-terrestrial+1982,6,2026-07-17T19:10:52
100155,stargate+1994,6,2026-07-17T20:52:31
86480,10+items+or+less+2006,6,2026-07-17T20:53:49
54925,little+women+1994,2,2026-07-17T20:56:13
53235,the+truth+about+cats++dogs+1996,6,2026-07-17T21:01:46
49466,i_+robot+2004,9,2026-07-17T21:08:32
52811,trading+places+1983,8,2026-07-17T21:28:58
39174,x-men+2000,6,2026-07-17T22:21:41
3893,batman+begins+2005,9,2026-07-17T23:37:50
75359,bullets+over+broadway+1994,8,2026-07-18T00:26
69092,the+taking+of+pelham+one+two+three+1974,8,2026-07-18T01:34:12
62742,last+action+hero+1993,4,2026-07-18T01:50:54
61580,singin+in+the+rain+1952,6,2026-07-18T02:06:45
26616,lolita+1962,6,2026-07-18T02:27:55
64919,fly+away+home+1996,6,2026-07-18T03:00:53
78357,american+beauty+1999,10,2026-07-18T03:21:23
77744,flashdance+1983,6,2026-07-18T03:48:32
28541,sabrina+1995,6,2026-07-18T03:51:12
80117,blade+runner+1982,8,2026-07-18T04:59:09
17394,clerks+1994,9,2026-07-18T07:25
61805,beavis+and+butt-head+do+america+1996,7,2026-07-18T08:01:24
73942,beauty+and+the+beast+1946,8,2026-07-18T10:10:16
92676,cats++dogs+2001,1,2026-07-18T11:01:13
21803,cool+hand+luke+1967,9,2026-07-18T12:51:59
62153,indiana+jones+and+the+last+crusade+1989,6,2026-07-18T15:05:34
73707,chicken+run+2000,3,2026-07-18T15:40:27
86043,horns+2013,7,2026-07-18T17:44:59
53046,the+net+1995,6,2026-07-18T18:54:08
59312,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,6,2026-07-18T19:24:44
64569,clear+and+present+danger+1994,8,2026-07-18T19:39:21
33264,taxi+driver+1976,6,2026-07-18T20:37:02
47303,the+net+1995,8,2026-07-18T20:40:20
48606,seven+years+in+tibet+1997,8,2026-07-18T20:44:09
77444,braveheart+1995,8,2026-07-18T20:55:50
46972,the+santa+clause+1994,8,2026-07-18T21:04:26
98544,the+insider+1999,8,2026-07-18T22:18:18
79893,a+time+to+kill+1996,8,2026-07-18T23:59:54
82321,the+green+mile+1999,6,2026-07-19T00:46:34
62742,beauty+and+the+beast+1991,8,2026-07-19T01:30:59
74250,big+fish+2003,5,2026-07-19T01:52:23
25004,inglourious+basterds+2009,8,2026-07-19T03:46:11
66948,pretty+woman+1990,7,2026-07-19T04:16:51
101677,the+station+agent+2003,8,2026-07-19T04:52:50
17922,under+the+tuscan+sun+2003,6,2026-07-19T05:05:01
101132,s1m0ne+2002,10,2026-07-19T08:19:28
9745,tootsie+1982,8,2026-07-19T08:30:23
1368,batman+1989,8,2026-07-19T09:13:17
50382,a+fish+called+wanda+1988,10,2026-07-19T09:39:10
73942,honey+i+blew+up+the+kid+1992,4,2026-07-19T09:58:48
55015,braveheart+1995,2,2026-07-19T12:42:52
21803,eternal+sunshine+of+the+spotless+mind+2004,10,2026-07-19T13:10:42
82663,the+last+days+of+disco+1998,4,2026-07-19T14:22:06
99615,total+recall+1990,6,2026-07-19T15:26:35
21803,the+incredibles+2004,7,2026-07-19T16:37:01
7366,gladiator+1992+1992,9,2026-07-19T18:25:49
26998,interview+with+the+vampire+1994,8,2026-07-19T20:09:50
9476,highlander+1986,6,2026-07-19T21:14:31
30878,spirited+away+2001,10,2026-07-19T22:41:20
57094,apocalypse+now+1979,10,2026-07-19T22:46:18
49466,gladiator+2000,9,2026-07-19T23:02:20
17922,life+is+beautiful+1997,8,2026-07-19T23:07:10
87304,romeo++juliet+1996,8,2026-07-20T00:47:31
61805,dirty+harry+1971,8,2026-07-20T01:18:33
55015,badlands+1973,9,2026-07-20T01:46:29
68978,the+hitchhikers+guide+to+the+galaxy+2005,8,2026-07-20T07:30:50
73942,miss+congeniality+2000,8,2026-07-20T10:48:18
34531,twister+1996,8,2026-07-20T11:35:24
27993,boogie+nights+1997,9,2026-07-20T11:36:32
94421,gone+with+the+wind+1939,6,2026-07-20T13:05:38
49937,blue+velvet+1986,10,2026-07-20T14:58:51
28084,raiders+of+the+lost+ark+1981,8,2026-07-20T16:40:50
1368,terminator+2+judgment+day+1991,9,2026-07-20T17:17:45
79583,under+siege+2+dark+territory+1995,8,2026-07-20T17:47:20
96821,stargate+1994,8,2026-07-20T17:47:28
64569,diner+1982,6,2026-07-20T19:59:27
98544,bicycle+thieves+1948,8,2026-07-20T20:12:20
21803,juno+2007,9,2026-07-20T20:56:30
